userId,movieId,rating,timestamp
1,6,4.0,964982224
1,47,5.0,964983815
1,70,3.0,964982400
1,110,4.0,964982176
1,333,5.0,964981179
1,356,4.0,964980962
1,441,4.0,964980868
1,552,4.0,964982653
1,593,4.0,964983793
1,608,5.0,964982931
1,648,3.0,964982563
1,804,4.0,964980499
1,943,4.0,964983614
1,1024,5.0,964982876
1,1025,5.0,964982791
1,1029,5.0,964982855
1,1092,5.0,964983484
1,1196,5.0,964981827
1,1197,5.0,964981872
1,1224,5.0,964984018
1,1291,5.0,964981909
1,1517,5.0,964981107
1,1617,5.0,964982951
1,1620,4.0,964983056
1,1777,4.0,964981230
1,1927,5.0,964981497
1,2018,5.0,964980523
1,2033,5.0,964982903
1,2046,4.0,964982563
1,2054,4.0,964981747
1,2078,5.0,964982838
1,2116,5.0,964982876
1,2137,5.0,964982791
1,2161,5.0,964981710
1,2329,5.0,964983263
1,2366,4.0,964982462
1,2395,5.0,964981093
1,2414,3.0,964982513
1,2492,4.0,965719662
1,2571,5.0,964981888
1,2628,4.0,964980523
1,2648,4.0,964983414
1,2657,3.0,964983426
1,2692,5.0,964981855
1,2716,5.0,964983414
1,2985,4.0,964983034
1,3033,5.0,964983762
1,3052,5.0,964981208
1,3062,4.0,964981872
1,3147,5.0,964983873
1,3386,5.0,964983484
1,3440,4.0,964981799
1,3448,5.0,964984054
1,3450,5.0,964981144
1,3489,4.0,964981775
1,3617,4.0,964980683
1,3702,5.0,964983737
1,3740,4.0,964982417
1,4006,4.0,964982903
2,1704,4.5,1445715228
2,8798,3.5,1445714960
2,68157,4.5,1445715154
2,74458,4.0,1445714926
2,77455,3.0,1445714941
2,79132,4.0,1445714841
2,80489,4.5,1445715340
2,91529,3.5,1445714891
2,106782,5.0,1445714966
2,109487,3.0,1445715145
3,31,0.5,1306463578
3,1093,0.5,1306463627
3,1275,3.5,1306463323
3,2424,0.5,1306464293
3,2851,5.0,1306463925
3,3210,0.5,1306463638
3,4518,5.0,1306463770
3,5048,0.5,1306464284
3,5181,5.0,1306463718
3,6835,5.0,1306463670
4,52,3.0,964622786
4,58,3.0,964538444
4,125,5.0,964622758
4,126,1.0,986848920
4,162,5.0,945078571
4,190,2.0,945079259
4,222,1.0,945629040
4,247,3.0,986848894
4,265,5.0,964538468
4,342,5.0,964538500
4,417,2.0,945078467
4,457,5.0,945079259
4,492,5.0,945079872
4,538,5.0,945078636
4,539,1.0,964538832
4,588,4.0,945079670
4,593,5.0,964539986
4,608,5.0,964540008
4,708,4.0,986935230
4,800,4.0,945079106
4,910,5.0,945173989
4,930,5.0,964538571
4,1025,4.0,945079232
4,1060,2.0,986934819
